trial_index,key,label,order_position,elapsed_ms,returncode
0,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a8,baseline,0,37.45975415222347,0
0,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a8,m2,1,55.87404710240662,0
1,efforts/knowledge-compositor/m3/design,m2,0,55.82187115214765,0
1,efforts/knowledge-compositor/m3/design,baseline,1,41.75696801394224,0
2,mind/ontology/concepts/three-dimensional-spatial-region,baseline,0,61.05511216446757,0
2,mind/ontology/concepts/three-dimensional-spatial-region,m2,1,57.63162998482585,0
3,mind/memory/models/knowledge-model,baseline,0,38.98686612956226,0
3,mind/memory/models/knowledge-model,m2,1,56.52501177974045,0
4,mind/dialectic/individuals/reids-essays-vi,baseline,0,38.37955207563937,0
4,mind/dialectic/individuals/reids-essays-vi,m2,1,59.206241043284535,0
5,efforts/multi-agent-orchestration/implementation/harness/t9a-task-11-flagged,m2,0,56.372376857325435,0
5,efforts/multi-agent-orchestration/implementation/harness/t9a-task-11-flagged,baseline,1,38.3949710521847,0
6,efforts/multi-agent-orchestration/implementation/harness/m9/stage,baseline,0,37.43034088984132,0
6,efforts/multi-agent-orchestration/implementation/harness/m9/stage,m2,1,58.94768610596657,0
7,efforts/multi-agent-orchestration/implementation/harness/m3/t9a-criteria-1,m2,0,59.978030156344175,0
7,efforts/multi-agent-orchestration/implementation/harness/m3/t9a-criteria-1,baseline,1,40.14647309668362,0
8,world/engineering/concepts/stability,baseline,0,40.13814590871334,0
8,world/engineering/concepts/stability,m2,1,61.65553303435445,0
9,efforts/knowledge-compositor/m4/design-provenance,m2,0,57.521704118698835,0
9,efforts/knowledge-compositor/m4/design-provenance,baseline,1,40.15647899359465,0
10,efforts/knowledge-compositor/m4/acceptance,m2,0,63.523219898343086,0
10,efforts/knowledge-compositor/m4/acceptance,baseline,1,43.59920998103917,0
11,efforts/multi-agent-orchestration/implementation/harness/m6/requirements,m2,0,63.166894018650055,0
11,efforts/multi-agent-orchestration/implementation/harness/m6/requirements,baseline,1,39.839687990024686,0
12,mind/dialectic/facts/dempster-shafer-separates-ignorance-from-uncertainty,baseline,0,42.061646934598684,0
12,mind/dialectic/facts/dempster-shafer-separates-ignorance-from-uncertainty,m2,1,59.13260206580162,0
13,mind/epistemology/hinges/index,m2,0,61.79658696055412,0
13,mind/epistemology/hinges/index,baseline,1,42.29511320590973,0
14,world/engineering/rulings/2026-08-28-take-the-load-delegate-to-save-cost,baseline,0,40.06362706422806,0
14,world/engineering/rulings/2026-08-28-take-the-load-delegate-to-save-cost,m2,1,61.361512867733836,0
15,efforts/knowledge-compositor/m3/design-checks,baseline,0,38.17950887605548,0
15,efforts/knowledge-compositor/m3/design-checks,m2,1,59.65987592935562,0
16,efforts/why-plug-nvim/design/prior-art-hawtkeys-static-scan,m2,0,63.83899110369384,0
16,efforts/why-plug-nvim/design/prior-art-hawtkeys-static-scan,baseline,1,39.34851102530956,0
17,world/engineering/concepts/shared-dependency,baseline,0,37.49858611263335,0
17,world/engineering/concepts/shared-dependency,m2,1,59.60834980942309,0
18,mind/dialectic/facts/retorsion-shows-indispensability-not-truth,m2,0,58.29795286990702,0
18,mind/dialectic/facts/retorsion-shows-indispensability-not-truth,baseline,1,39.78848201222718,0
19,world/engineering/facts/environment-capture-needs-working-tree-state-not-just-commit-sha,baseline,0,46.94728902541101,0
19,world/engineering/facts/environment-capture-needs-working-tree-state-not-just-commit-sha,m2,1,56.402865098789334,0
20,mind/ontology/relations/causes,m2,0,56.91673397086561,0
20,mind/ontology/relations/causes,baseline,1,38.69165410287678,0
21,.opencode/node_modules/msgpackr-extract/README,baseline,0,35.12302087619901,0
21,.opencode/node_modules/msgpackr-extract/README,m2,1,37.04102197661996,0
22,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-4,baseline,0,38.424004800617695,0
22,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-4,m2,1,58.17505391314626,0
23,world/engineering/concepts/stress,baseline,0,39.56648800522089,0
23,world/engineering/concepts/stress,m2,1,60.54134201258421,0
24,world/crew/facts/agent-summary-cant-reference-own-untransmitted-tool-output,baseline,0,37.55428199656308,0
24,world/crew/facts/agent-summary-cant-reference-own-untransmitted-tool-output,m2,1,55.84576493129134,0
25,efforts/multi-agent-orchestration/implementation/harness/t9a-task-8-reconciled,baseline,0,38.69799617677927,0
25,efforts/multi-agent-orchestration/implementation/harness/t9a-task-8-reconciled,m2,1,60.04432402551174,0
26,mind/dialectic/concepts/hinge,m2,0,60.47119107097387,0
26,mind/dialectic/concepts/hinge,baseline,1,39.72653695382178,0
27,world/crew/concepts/verdict,m2,0,58.547748951241374,0
27,world/crew/concepts/verdict,baseline,1,36.92552703432739,0
28,efforts/multi-agent-orchestration/implementation/harness/m5/stage,baseline,0,39.22801394946873,0
28,efforts/multi-agent-orchestration/implementation/harness/m5/stage,m2,1,55.30111794359982,0
29,world/crew/patterns/fractal-role-decomposition,m2,0,61.23130000196397,0
29,world/crew/patterns/fractal-role-decomposition,baseline,1,37.680764915421605,0
30,efforts/multi-agent-orchestration/implementation/harness/m7/design/standalone-and-scope,m2,0,59.24477078951895,0
30,efforts/multi-agent-orchestration/implementation/harness/m7/design/standalone-and-scope,baseline,1,37.333439104259014,0
31,world/crew/individuals/we-are-not-done-yet-utterance,baseline,0,38.17194397561252,0
31,world/crew/individuals/we-are-not-done-yet-utterance,m2,1,64.52283705584705,0
32,world/crew/facts/executor-roles-lack-iwe-tools-paste-dont-instruct,baseline,0,107.85678890533745,0
32,world/crew/facts/executor-roles-lack-iwe-tools-paste-dont-instruct,m2,1,76.45126897841692,0
33,mind/ontology/concepts/process,m2,0,65.97553798928857,0
33,mind/ontology/concepts/process,baseline,1,43.546480126678944,0
34,efforts/knowledge-compositor/m7/design-trial,m2,0,62.169481068849564,0
